GENDER,AGE_GRP,JOB_NM,TRAVEL_TERM,TRAVEL_LIKE_SGG_1,TRAVEL_LIKE_SGG_2,TRAVEL_LIKE_SGG_3,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_STATUS_RESIDENCE,TRAVEL_STATUS_DESTINATION,TRAVEL_STATUS_ACCOMPANY,TRAVEL_MOTIVE,TRAVEL_COMPANIONS_NUM,TRAVEL_ID
여,30,학생,한달,50110,42150,46110,자연 선호(강),자연 선호(중),중립,도시 선호(약),도시 선호(중),도시 선호(강),도시 선호(강),도시 선호(강),대전광역시,전북,3인 이상 여행(가족 외),"일상적인 환경 및 역할에서의 탈출, 지루함 탈피",3,g_g007535
여,30,사무 종사자,1년,42210,46150,50130,자연 선호(중),자연 선호(중),자연 선호(중),도시 선호(중),도시 선호(중),자연 선호(중),자연 선호(중),도시 선호(약),경기도,대전,2인 여행(가족 외),"일상적인 환경 및 역할에서의 탈출, 지루함 탈피",1,g_g012176
남,30,학생,1년,42210,46130,50110,중립,자연 선호(중),자연 선호(중),자연 선호(중),도시 선호(약),중립,도시 선호(약),도시 선호(약),경기도,전북,2인 여행(가족 외),여행 동반자와의 친밀감 및 유대감 증진,1,g_g000414
남,40,사무 종사자,한달,42210,28710,48310,자연 선호(중),자연 선호(중),중립,중립,도시 선호(중),도시 선호(약),도시 선호(중),도시 선호(강),서울특별시,충북,자녀 동반 여행,"일상적인 환경 및 역할에서의 탈출, 지루함 탈피",3,g_g005975
남,30,사무 종사자,1주일,46710,46870,46860,도시 선호(약),도시 선호(중),자연 선호(중),중립,중립,도시 선호(약),자연 선호(약),도시 선호(중),광주광역시,전남,자녀 동반 여행,여행 동반자와의 친밀감 및 유대감 증진,3,g_g012643
여,30,기타,한달,45110,50130,26350,도시 선호(약),자연 선호(중),자연 선호(중),자연 선호(약),도시 선호(중),도시 선호(약),자연 선호(강),도시 선호(약),전라북도,충남,2인 여행(가족 외),여행 동반자와의 친밀감 및 유대감 증진,1,g_g004489
여,20,학생,1년,26140,11680,41460,자연 선호(약),자연 선호(중),도시 선호(중),자연 선호(중),도시 선호(약),도시 선호(약),자연 선호(중),도시 선호(중),서울특별시,전북,2인 여행(가족 외),새로운 경험 추구,1,g_g003307
여,40,전업주부,1년,50130,42830,45770,도시 선호(중),도시 선호(약),도시 선호(약),중립,자연 선호(약),도시 선호(중),자연 선호(약),도시 선호(약),서울특별시,전북,나홀로 여행,"일상적인 환경 및 역할에서의 탈출, 지루함 탈피",0,g_g011843
여,30,사무 종사자,1년,42150,43800,26350,중립,자연 선호(강),자연 선호(중),자연 선호(강),중립,도시 선호(약),도시 선호(중),도시 선호(중),서울특별시,충북,2인 여행(가족 외),"쉴 수 있는 기회, 육체 피로 해결 및 정신적인 휴식",1,g_g000714
여,40,서비스 종사자,1년,50110,41830,11170,도시 선호(강),중립,중립,자연 선호(중),중립,중립,자연 선호(강),도시 선호(중),경기도,대전,2인 여행(가족 외),새로운 경험 추구,1,g_g012270
남,30,사무 종사자,한달,48880,48120,50130,자연 선호(약),중립,자연 선호(중),중립,도시 선호(중),자연 선호(중),자연 선호(약),자연 선호(약),대구광역시,대전,2인 가족 여행,새로운 경험 추구,1,g_g001576
여,20,기타,1년,11680,41460,30200,도시 선호(중),중립,도시 선호(약),자연 선호(중),자연 선호(약),도시 선호(중),도시 선호(중),자연 선호(약),전라북도,대전,2인 여행(가족 외),"일상적인 환경 및 역할에서의 탈출, 지루함 탈피",1,g_g012523
여,40,사무 종사자,1년,48840,48220,26350,중립,중립,자연 선호(강),중립,도시 선호(약),자연 선호(강),도시 선호(약),중립,서울특별시,광주,2인 여행(가족 외),"일상적인 환경 및 역할에서의 탈출, 지루함 탈피",1,g_g001779
