TRAVEL_ID,TRAVEL_PURPOSE,TRAVEL_START_YMD,TRAVEL_END_YMD,TRAVEL_MISSION_CHECK
g_g011096,쇼핑;종교/성지 순례;역사 유적지 방문,2023-08-31,2023-09-01,역사 유적지 방문;지역 문화예술/공연/전시시설 관람;종교/성지 순례
g_g011097,Well-ness 여행;SNS 인생샷 여행;신규 여행지 발굴;인플루언서 따라하기 여행;역사 유적지 방문,2023-09-24,2023-09-25,역사 유적지 방문;쇼핑;지역 문화예술/공연/전시시설 관람
g_g011098,쇼핑;SNS 인생샷 여행;인플루언서 따라하기 여행;지역 문화예술/공연/전시시설 관람,2023-09-09,2023-09-10,지역 문화예술/공연/전시시설 관람;쇼핑;SNS 인생샷 여행
g_g011101,SNS 인생샷 여행;인플루언서 따라하기 여행;등반 여행;시티투어;지역 축제/이벤트 참가,2023-09-01,2023-09-02,지역 축제/이벤트 참가;SNS 인생샷 여행;인플루언서 따라하기 여행
g_g011102,역사 유적지 방문,2023-09-09,2023-09-10,역사 유적지 방문;신규 여행지 발굴;SNS 인생샷 여행
g_g011105,"테마파크, 놀이시설, 동/식물원 방문;쇼핑;지역 문화예술/공연/전시시설 관람",2023-09-01,2023-09-02,인플루언서 따라하기 여행;역사 유적지 방문;SNS 인생샷 여행
g_g011106,시티투어;지역 문화예술/공연/전시시설 관람;역사 유적지 방문,2023-09-10,2023-09-11,"시티투어;테마파크, 놀이시설, 동/식물원 방문;SNS 인생샷 여행"
g_g011120,쇼핑;Well-ness 여행;인플루언서 따라하기 여행,2023-09-02,2023-09-03,Well-ness 여행;쇼핑;인플루언서 따라하기 여행
g_g011123,SNS 인생샷 여행;신규 여행지 발굴;등반 여행,2023-09-01,2023-09-02,등반 여행;지역 문화예술/공연/전시시설 관람;지역 축제/이벤트 참가
g_g011127,드라마 촬영지 방문;SNS 인생샷 여행;반려동물 동반 여행;인플루언서 따라하기 여행;지역 축제/이벤트 참가,2023-09-16,2023-09-17,SNS 인생샷 여행;반려동물 동반 여행;쇼핑
g_g011129,쇼핑;SNS 인생샷 여행;신규 여행지 발굴;역사 유적지 방문;지역 문화예술/공연/전시시설 관람,2023-09-26,2023-09-27,역사 유적지 방문;지역 문화예술/공연/전시시설 관람;SNS 인생샷 여행
g_g011131,"테마파크, 놀이시설, 동/식물원 방문;SNS 인생샷 여행;친환경 여행(플로깅 여행);지역 문화예술/공연/전시시설 관람;지역 축제/이벤트 참가",2023-09-16,2023-09-17,"테마파크, 놀이시설, 동/식물원 방문;쇼핑;지역 문화예술/공연/전시시설 관람"
g_g011137,"Well-ness 여행;SNS 인생샷 여행;신규 여행지 발굴;인플루언서 따라하기 여행;야외 스포츠, 레포츠 활동",2023-09-01,2023-09-02,"야외 스포츠, 레포츠 활동;인플루언서 따라하기 여행;Well-ness 여행"
g_g011146,"역사 유적지 방문;SNS 인생샷 여행;테마파크, 놀이시설, 동/식물원 방문",2023-09-30,2023-10-01,"역사 유적지 방문;지역 문화예술/공연/전시시설 관람;테마파크, 놀이시설, 동/식물원 방문"
