TRAVEL_ID,REL_CD,COMPANION_GENDER,COMPANION_AGE_GRP
g_g000486,"친목 단체/모임(동호회, 종교단체 등)",여자,50대
g_g000486,"친목 단체/모임(동호회, 종교단체 등)",여자,50대
g_g000486,"친목 단체/모임(동호회, 종교단체 등)",여자,50대
g_g000486,"친목 단체/모임(동호회, 종교단체 등)",여자,50대
g_g000486,"친목 단체/모임(동호회, 종교단체 등)",여자,50대
g_g000486,"친목 단체/모임(동호회, 종교단체 등)",여자,50대
g_g000486,"친목 단체/모임(동호회, 종교단체 등)",여자,50대
g_g000486,"친목 단체/모임(동호회, 종교단체 등)",여자,50대
g_g000486,"친목 단체/모임(동호회, 종교단체 등)",여자,50대
g_g000486,"친목 단체/모임(동호회, 종교단체 등)",여자,50대
g_g000486,"친목 단체/모임(동호회, 종교단체 등)",여자,50대
g_g000486,"친목 단체/모임(동호회, 종교단체 등)",여자,50대
g_g000486,"친목 단체/모임(동호회, 종교단체 등)",여자,50대
g_g000486,"친목 단체/모임(동호회, 종교단체 등)",여자,50대
g_g000486,"친목 단체/모임(동호회, 종교단체 등)",여자,50대
g_g000486,"친목 단체/모임(동호회, 종교단체 등)",여자,50대
g_g000486,"친목 단체/모임(동호회, 종교단체 등)",여자,50대
g_g000486,"친목 단체/모임(동호회, 종교단체 등)",여자,50대
g_g000488,자녀,남자,10대
g_g000488,부모,여자,70세이상
g_g000488,자녀,남자,~9세이하
g_g000490,배우자,남자,50대
g_g000492,배우자,남자,30대
g_g000492,자녀,남자,~9세이하
g_g000494,배우자,여자,60대
g_g000499,자녀,여자,~9세이하
g_g000499,연인,남자,30대
g_g000502,연인,남자,20대
g_g000503,자녀,여자,~9세이하
g_g000503,배우자,여자,30대
g_g000508,자녀,남자,10대
g_g000508,배우자,남자,40대
g_g000508,자녀,여자,10대
g_g000510,자녀,남자,~9세이하
g_g000510,배우자,남자,30대
g_g000515,친구,남자,40대
g_g000519,자녀,남자,~9세이하
g_g000519,배우자,여자,30대
g_g000519,자녀,남자,~9세이하
g_g000520,자녀,남자,40대
g_g000520,자녀,여자,40대
g_g000522,연인,남자,20대
g_g000532,배우자,여자,30대
g_g000536,배우자,여자,60대
g_g000540,자녀,남자,10대
g_g000540,배우자,여자,40대
g_g000540,자녀,여자,10대
g_g000556,배우자,여자,40대
g_g000556,자녀,남자,~9세이하
g_g000556,자녀,여자,~9세이하
g_g000558,배우자,남자,40대
g_g000560,연인,남자,20대
g_g000569,친구,여자,60대
g_g000569,친구,여자,60대
g_g000570,배우자,여자,30대
g_g000570,자녀,여자,~9세이하
g_g000570,자녀,여자,~9세이하
g_g000571,부모,여자,70세이상
g_g000571,친인척,남자,70세이상
g_g000571,친인척,여자,70세이상
g_g000571,친인척,여자,60대
g_g000571,배우자,여자,40대
g_g000571,친인척,여자,60대
g_g000571,친인척,남자,70세이상
g_g000571,친인척,남자,60대
g_g000572,배우자,남자,50대
g_g000577,자녀,남자,10대
g_g000577,배우자,남자,40대
g_g000577,자녀,여자,~9세이하
g_g000581,배우자,남자,40대
g_g000581,자녀,남자,10대
g_g000581,자녀,여자,~9세이하
g_g000581,부모,여자,70세이상
g_g000581,자녀,여자,10대
g_g000582,자녀,여자,~9세이하
g_g000582,배우자,남자,40대
g_g000582,자녀,남자,~9세이하
g_g000585,배우자,남자,40대
g_g000585,자녀,남자,10대
g_g000590,배우자,남자,30대
g_g000590,자녀,여자,~9세이하
g_g000590,자녀,여자,~9세이하
g_g000592,자녀,남자,10대
g_g000592,배우자,남자,40대
g_g000592,자녀,남자,~9세이하
g_g000602,자녀,남자,~9세이하
g_g000602,배우자,남자,30대
g_g000604,배우자,여자,30대
g_g000605,배우자,남자,30대
g_g000605,자녀,여자,~9세이하
g_g000605,자녀,남자,~9세이하
g_g000606,자녀,남자,~9세이하
g_g000606,배우자,여자,40대
g_g000607,배우자,여자,30대
g_g000610,"친목 단체/모임(동호회, 종교단체 등)",여자,50대
g_g000610,"친목 단체/모임(동호회, 종교단체 등)",여자,40대
g_g000610,"친목 단체/모임(동호회, 종교단체 등)",남자,50대
