TRAVEL_ID,KTX/SRT(고속열차),관광버스,기타,렌터카(승용/승합/버스 등등),배/선박,버스 + 지하철,새마을/무궁화열차,시내/마을버스,시외/고속버스,자가용(승용/승합/트럭 등등),자전거,지하철,캠핑카(자차 및 렌탈),택시,항공기,MAJOR_TRANSPORT,TOTAL_MVMN_WON
g_g000492,0,0,0,0,0,0,0,0,0,62900,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],62900
g_g000494,0,0,0,0,0,0,0,0,0,58600,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],58600
g_g000498,70000,3900,0,0,0,0,0,0,0,0,0,6700,0,32100,0,"['KTX/SRT(고속열차)', '관광버스', '지하철', '택시']",112700
g_g000499,0,0,0,0,0,0,0,0,0,67000,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],67000
g_g000502,119600,0,0,0,0,0,0,0,0,0,0,1650,0,22800,0,"['KTX/SRT(고속열차)', '지하철', '택시']",144050
g_g000503,0,0,0,0,0,0,0,0,0,58000,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],58000
g_g000506,0,0,0,0,0,0,0,0,0,6000,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],6000
g_g000507,0,0,0,0,0,0,0,0,0,43100,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],43100
g_g000508,0,0,0,0,0,0,0,0,0,83000,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],83000
g_g000510,0,0,0,0,0,0,0,0,0,58000,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],58000
g_g000515,0,0,0,0,0,0,0,0,0,50000,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],50000
g_g000516,0,0,0,0,0,7800,0,0,0,0,0,0,0,0,13900,"['버스 + 지하철', '항공기']",21700
g_g000518,0,0,0,0,0,0,0,4000,0,0,0,0,0,8000,0,"['시내/마을버스', '택시']",12000
g_g000519,0,0,0,0,0,0,0,0,0,52200,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],52200
g_g000520,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],10000
g_g000522,0,0,0,0,0,0,0,0,0,18600,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],18600
g_g000532,0,0,0,0,0,0,0,0,0,30000,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],30000
g_g000536,0,0,0,0,0,0,0,0,0,75200,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],75200
g_g000540,0,0,0,0,0,0,0,0,0,64549,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],64549
g_g000541,0,0,0,0,0,0,0,0,0,71000,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],71000
g_g000544,0,0,0,0,0,9100,11200,0,0,0,3000,0,0,5500,0,"['새마을/무궁화열차', '자전거']",28800
g_g000545,38800,0,0,0,0,2500,0,0,0,0,0,0,0,0,0,['KTX/SRT(고속열차)'],41300
g_g000546,0,0,0,0,0,0,0,9000,0,0,0,0,0,30500,0,"['시내/마을버스', '택시']",39500
g_g000552,0,0,1500,0,0,0,0,0,4000,0,0,0,0,0,0,"['기타', '시외/고속버스']",5500
g_g000556,16800,0,0,0,0,0,16000,0,0,0,0,0,0,11800,0,"['KTX/SRT(고속열차)', '새마을/무궁화열차', '택시']",44600
g_g000558,0,0,0,0,0,0,0,0,0,85000,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],85000
g_g000560,0,0,0,0,0,0,0,0,0,109000,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],109000
g_g000562,0,0,0,0,0,24700,0,0,0,0,0,0,0,0,0,['버스 + 지하철'],24700
