TRAVEL_ID,TOTAL_ACTIVITY_WON
g_g000384,690900.0
g_g000387,79600.0
g_g000389,23500.0
g_g000391,385370.0
g_g000392,93200.0
g_g000393,54000.0
g_g000394,488100.0
g_g000396,146500.0
g_g000397,131000.0
g_g000399,249600.0
g_g000402,56800.0
g_g000404,84000.0
g_g000405,124500.0
g_g000409,177730.0
g_g000410,130000.0
g_g000413,256400.0
g_g000414,255442.0
g_g000418,203200.0
g_g000419,298500.0
g_g000420,28500.0
g_g000423,176800.0
g_g000425,85800.0
g_g000427,51100.0
g_g000429,88120.0
g_g000430,163000.0
g_g000435,114800.0
g_g000436,312300.0
g_g000437,254100.0
g_g000440,156850.0
g_g000441,129880.0
g_g000442,70400.0
g_g000443,191400.0
g_g000447,308800.0
g_g000453,570000.0
g_g000454,390600.0
g_g000459,315970.0
g_g000460,141200.0
g_g000461,132380.0
g_g000464,458306.0
g_g000466,251700.0
g_g000469,190120.0
g_g000471,426500.0
g_g000473,216700.0
g_g000474,76200.0
g_g000477,49900.0
g_g000478,226350.0
g_g000480,47000.0
g_g000481,216000.0
g_g000483,15000.0
g_g000486,476200.0
g_g000487,100500.0
g_g000488,133300.0
g_g000490,71000.0
g_g000492,110000.0
g_g000494,107700.0
g_g000499,243260.0
g_g000502,168900.0
g_g000503,134300.0
g_g000506,48450.0
g_g000507,64500.0
g_g000508,286730.0
g_g000510,84000.0
g_g000515,120900.0
g_g000516,25600.0
g_g000518,98700.0
g_g000519,215400.0
g_g000520,60800.0
g_g000522,922500.0
g_g000532,39900.0
g_g000536,211500.0
g_g000541,155700.0
g_g000544,181530.0
g_g000546,119600.0
g_g000552,68200.0
g_g000556,221800.0
g_g000558,379300.0
g_g000560,298890.0
g_g000562,50200.0
g_g000569,608900.0
g_g000570,250500.0
g_g000571,1562600.0
g_g000572,275300.0
g_g000577,338730.0
g_g000581,365060.0
g_g000582,40816.0
g_g000585,21900.0
g_g000590,235700.0
g_g000592,245230.0
g_g000602,150600.0
g_g000604,75500.0
g_g000605,417850.0
g_g000606,143500.0
g_g000607,148900.0
g_g000610,218000.0
g_g000611,204900.0
g_g000612,55700.0
g_g000613,47000.0
g_g000614,77900.0
g_g000618,355640.0
g_g000619,201000.0
g_g000622,154240.0
g_g000624,118600.0
g_g000628,89810.0
g_g000629,194000.0
g_g000636,135000.0
g_g000637,76000.0
g_g000639,363200.0
g_g000642,159370.0
g_g000643,309250.0
g_g000648,336650.0
g_g000651,127100.0
g_g000653,95690.0
g_g000654,258700.0
g_g000657,238000.0
g_g000658,173590.0
g_g000665,446700.0
g_g000670,141100.0
g_g000672,392100.0
g_g000675,178400.0
g_g000678,192390.0
g_g000680,118400.0
g_g000681,227800.0
g_g000685,96500.0
g_g000687,170100.0
g_g000688,184000.0
g_g000695,136000.0
g_g000696,31400.0
g_g000697,140530.0
g_g000698,76000.0
g_g000699,291600.0
g_g000701,594940.0
g_g000702,408800.0
g_g000703,457700.0
g_g000709,100500.0
g_g000710,137300.0
g_g000712,119400.0
g_g000714,100430.0
g_g000716,228100.0
g_g000717,3000.0
g_g000719,341900.0
g_g000722,19000.0
g_g000726,108320.0
g_g000727,27000.0
g_g000729,75350.0
g_g000730,424000.0
g_g000732,280200.0
g_g000734,191500.0
g_g000735,212300.0
g_g000736,133000.0
g_g000742,228500.0
g_g000743,307200.0
g_g000747,199920.0
g_g000751,89170.0
g_g000754,758760.0
g_g000756,387400.0
g_g000758,140700.0
g_g000769,120040.0
g_g000770,112800.0
g_g000773,193800.0
g_g000775,239900.0
g_g000776,124000.0
g_g000777,46100.0
g_g000779,210900.0
g_g000781,93000.0
g_g000782,53000.0
g_g000784,147050.0
g_g000785,294700.0
g_g000786,503800.0
g_g000788,264765.0
g_g000789,229000.0
g_g000790,64890.0
g_g000792,163700.0
g_g000794,116000.0
g_g000796,5200.0
g_g000804,104000.0
g_g000807,325730.0
g_g000808,374700.0
g_g000809,95400.0
g_g000812,194000.0
g_g000815,151200.0
g_g000818,124400.0
g_g000819,274890.0
g_g000820,109500.0
g_g000826,129320.0
g_g000831,372100.0
g_g000834,10000.0
g_g000836,196350.0
g_g000842,62300.0
g_g000848,48300.0
g_g000859,212410.0
g_g000861,218450.0
g_g000862,122300.0
g_g000864,278760.0
g_g000866,2084310.0
g_g000867,362300.0
g_g000869,144500.0
g_g000871,86000.0
g_g000875,381000.0
g_g000880,330020.0
g_g000881,1759120.0
g_g000883,150700.0
g_g000892,217300.0
