TRAVEL_ID,MAJOR_ACTIVITY_TYPE
g_g000910,['단순 구경 / 산책 / 걷기']
g_g000913,['취식']
g_g000916,"['쇼핑 / 구매', '취식']"
g_g000917,['단순 구경 / 산책 / 걷기']
g_g000920,"['취식', '휴식']"
g_g000931,['취식']
g_g000935,['취식']
g_g000937,['체험 활동 / 입장 및 관람']
g_g000938,"['쇼핑 / 구매', '체험 활동 / 입장 및 관람', '취식']"
g_g000939,"['단순 구경 / 산책 / 걷기', '취식', '휴식']"
g_g000940,"['단순 구경 / 산책 / 걷기', '취식']"
g_g000943,"['단순 구경 / 산책 / 걷기', '쇼핑 / 구매']"
g_g000944,['취식']
g_g000945,['취식']
g_g000946,['단순 구경 / 산책 / 걷기']
g_g000947,['체험 활동 / 입장 및 관람']
g_g000949,['취식']
g_g000950,['취식']
g_g000952,['체험 활동 / 입장 및 관람']
g_g000954,['취식']
g_g000957,['취식']
g_g000958,['취식']
g_g000959,['취식']
g_g000965,['취식']
g_g000967,"['단순 구경 / 산책 / 걷기', '체험 활동 / 입장 및 관람', '취식']"
g_g000972,['취식']
g_g000974,['취식']
g_g000976,['체험 활동 / 입장 및 관람']
g_g000982,['단순 구경 / 산책 / 걷기']
g_g000983,"['취식', '휴식']"
g_g000985,['쇼핑 / 구매']
g_g000986,"['단순 구경 / 산책 / 걷기', '쇼핑 / 구매', '취식']"
g_g000987,['취식']
g_g000988,['취식']
g_g000989,['취식']
g_g000991,['체험 활동 / 입장 및 관람']
g_g000992,['취식']
g_g000993,['취식']
g_g000996,['취식']
g_g000998,['취식']
g_g001000,['취식']
g_g001002,['취식']
g_g001003,"['쇼핑 / 구매', '취식']"
g_g001004,['취식']
g_g001006,['취식']
g_g001008,"['체험 활동 / 입장 및 관람', '휴식']"
g_g001011,"['쇼핑 / 구매', '취식']"
g_g001014,['취식']
g_g001016,"['취식', '환승/경유']"
g_g001019,"['체험 활동 / 입장 및 관람', '취식']"
g_g001022,"['체험 활동 / 입장 및 관람', '취식']"
g_g001026,['취식']
g_g001028,"['쇼핑 / 구매', '취식']"
g_g001030,['취식']
g_g001033,['취식']
g_g001034,"['기타 활동', '취식']"
g_g001035,['취식']
g_g001036,['취식']
g_g001038,['쇼핑 / 구매']
g_g001039,['취식']
g_g001040,['단순 구경 / 산책 / 걷기']
g_g001041,['취식']
g_g001046,"['단순 구경 / 산책 / 걷기', '취식']"
g_g001047,['취식']
g_g001048,"['단순 구경 / 산책 / 걷기', '취식']"
g_g001050,['체험 활동 / 입장 및 관람']
g_g001051,['취식']
g_g001052,['취식']
g_g001053,"['쇼핑 / 구매', '환승/경유']"
g_g001056,['취식']
g_g001063,['취식']
g_g001068,['단순 구경 / 산책 / 걷기']
g_g001070,['취식']
g_g001076,['취식']
g_g001077,['취식']
g_g001081,['체험 활동 / 입장 및 관람']
g_g001083,['취식']
g_g001086,['단순 구경 / 산책 / 걷기']
g_g001095,['취식']
g_g001100,['취식']
g_g001101,['취식']
g_g001103,"['단순 구경 / 산책 / 걷기', '취식', '환승/경유']"
g_g001104,['휴식']
g_g001106,['취식']
g_g001107,['취식']
g_g001109,['취식']
g_g001111,['취식']
g_g001112,['취식']
g_g001113,['취식']
g_g001114,['취식']
g_g001118,['취식']
g_g001124,['취식']
g_g001129,['취식']
g_g001132,['취식']
g_g001133,['취식']
g_g001135,['단순 구경 / 산책 / 걷기']
g_g001136,['단순 구경 / 산책 / 걷기']
g_g001138,"['단순 구경 / 산책 / 걷기', '휴식']"
g_g001144,['취식']
g_g001147,['단순 구경 / 산책 / 걷기']
g_g001148,['취식']
g_g001151,['취식']
g_g001154,['취식']
g_g001156,"['취식', '휴식']"
g_g001164,['휴식']
g_g001166,"['단순 구경 / 산책 / 걷기', '휴식']"
g_g001169,['단순 구경 / 산책 / 걷기']
g_g001171,"['단순 구경 / 산책 / 걷기', '체험 활동 / 입장 및 관람', '취식']"
g_g001173,['단순 구경 / 산책 / 걷기']
g_g001178,"['쇼핑 / 구매', '체험 활동 / 입장 및 관람', '휴식']"
g_g001187,['취식']
g_g001189,['체험 활동 / 입장 및 관람']
