TRAVEL_ID,ADV_NM,TOTAL_ADV_WON
g_g000775,['전북투어패스'],11800
g_g000779,['물 음료'],9900
g_g000785,['커피'],7000
g_g000804,['양념갈비; 오징어초무침과 납착만두; 돈마호크'],110400
g_g000808,['엄마 가방 전병'],29800
g_g000809,['주유'],50000
g_g000832,['족발; 콩나물잡채 등'],43000
g_g000836,"['고속버스 예매', '고속버스 예매']",37000
g_g000842,"['고기 음료과자술아이스크림빵등등', '고기 음료과자술아이스크림빵등등', '고기 음료과자술아이스크림빵등등', '고기 음료과자술아이스크림빵등등', '고기 음료과자술아이스크림빵등등']",117730
g_g000859,"['쌈장.삼겹살.쌈무.찜딝.고구마.버섯.마늘.방울토마토.메론', '쌈장.삼겹살.쌈무.찜딝.고구마.버섯.마늘.방울토마토.메론']",62970
g_g000867,['주류;고기.과자.음료;과일;야채'],158300
g_g000898,"['시외버스 승차권', '시외버스 승차권']",45800
g_g000899,['음료;빵;과자;떡; 친척집방문용 과일;고기;반찬 등'],179000
g_g000920,['주유'],60000
g_g000931,['햇반 라면'],18370
g_g000938,['간식'],25000
g_g000967,['고속버스 예매'],38000
g_g000992,['보조배터리'],33326
g_g000996,"['고속버스비', '고속버스비']",26200
g_g000998,['기차표'],51000
g_g001008,['숙박시설에서 먹을음식'],100050
g_g001028,['곱창전골 어묵탕 라면 고기 마늘 얼음 물 음료수'],88802
g_g001033,['전주한옥마을패키지권'],48600
g_g001036,['유부초밥;오리고기;토마호크;양고기;소주;맥주 어묵탕;크림닭갈비;떡볶이;소고기 등'],470000
g_g001039,['삼겹살;야채;떡볶이;청국장 등'],149000
g_g001040,['바베큐 파티 재료'],93500
g_g001077,['고기 회 술 텐트 의자 수저'],211080
g_g001086,['고속버스 티켓'],43800
g_g001114,['숙소'],95000
g_g001138,['고기 맥주'],44160
g_g001144,['옷'],43800
g_g001156,['만두전골'],40000
g_g001227,"['식료품', '식료품']",101210
g_g001231,['고수동굴+다누리아쿠아리움 패키지 입장권'],18900
g_g001233,['베어트리파크입장권'],32760
g_g001256,['고기 음료 주류 등'],169080
g_g001258,['마른안주와 과일 약간; 저녁으로 김밥 구매했습니다'],61000
g_g001276,['햇반 라면'],6000
g_g001280,['플로깅용 집게'],4000
g_g001289,['정육'],44680
g_g001290,['고기'],44680
g_g001291,['커피'],9000
g_g001315,['프로야구 티켓 입장권'],52000
g_g001322,['서브웨이;스타벅스'],18000
g_g001337,['캠핑용품 대여'],101000
g_g001338,['음료수'],2000
g_g001343,['캠핑때 먹을 것'],56770
g_g001362,['센티마르 글램핑 숙소 사전예약'],195000
g_g001386,['점심'],8000
g_g001575,['아이장화'],5999
g_g001612,['간식과자'],8540
