TRAVEL_ID,ADV_NM,ADV_SEQ,PAYMENT_NUM,BRNO,STORE_NM,ROAD_NM_ADDR,LOTNO_ADDR,ROAD_NM_CD,LOTNO_CD,PAYMENT_DT,PAYMENT_MTHD_SE,PAYMENT_AMT_WON,PAYMENT_ETC,SGG_CD
g_g003516,캠핑장 예약,2,2,4852000500,계룡산글램핑 파크오브드림,충남 공주시 반포면 동학사1로 46,,3251009,4415034033,2023-06-29 15:44,3,76000,BarBQYaho(3time) Y1동,
g_g003526,고속버스,0,2,,전국고속버스운송,가리내로 70 전주고속버스터미널,,,,,1,16400,,4511310700
g_g003541,삼겹살,1,2,8693400350,참조은고깃간,경기 군포시 군포로 497,경기 군포시 당동 771-10,3200004,4141010100,2023-07-01 17:44,3,18000,돼지고기,
g_g003559,먹거리,1,4,1238528517,롯데마트,경기 의왕시 계원대학로 7,경기 의왕시 내손동 743,3201007,4143010700,2023-07-05 21:38,1,109660,오늘좋은 오리지널&카라멜 팝콘;요리하다X농가맛집 소고기버섯전골;호주산 와규 5초 구이(냉동);농심 매운새우깡;고래사 꼬치어묵,
g_g003570,아쿠아슈즈; 물총; 과자,0,2,,다이소,푸른들판로 661-4,,,,,1,12000,,4159036000
g_g003572,청풍호 관광 모노레일 탑승권,1,2,8248102515,(주)인터파크트리플,서울 강남구 삼성로 512,,3122005,1168010500,,1,24000,2023 청풍호 관광 모노레일 이용권,
g_g003576,삼겹살;목살; 술;밥;음료; 닭꼬치; 버섯;야채,0,2,,이마트 광주점,광주광역시 서구 죽봉대로 61,,,,,1,100220,,2914011500
g_g003583,스노쿨링장비,1,2,5175600602,그린주닉,경기 광주시 광주역8로 14,경기 광주시 역동 388,3353086,4161011200,2023-07-26 18:39,1,31800,커넥티아 스노클링 세트,
g_g003586,과일; 간식거리,0,4,,고서농협로컬푸드매장,가사문학로 342-3,,,,,3,15000,,4671032000
g_g003623,숙박에 필요한 음식,4,5,2780401901,GS25,충북 청주시 흥덕구 옥산면 오송가락로 1056,충북 청주시 흥덕구 옥산면 가락리 981,3240054,4311332025,2023-07-08 10:46,1,15500,타이거레몬캔;사조구운소금;태양초고추골드,
g_g003665,물놀이용품,2,1,2208183676,주식회사 지마켓,서울 강남구 테헤란로 152,서울 강남구 역삼동 737,3122010,1168010100,,1,70000,베스트웨이 성인용 물놀이 라운드 원형 튜브 수영 용품,
g_g003718,간식,1,3,5131044444,GS25,경북 구미시 산호대로27길 17,경북 구미시 옥계동 632-4,4724397,4719012800,2023-07-08 11:25,3,10600,초코빼빼로지함;삼겹살쌈밥김밥;키커바시리얼;마이쮸사과;킨더초콜릿,
g_g003807,부탄,1,3,6384300345,명성가스충전소,광주 광산구 사암로 896,,3163014,2920011200,2023-07-08 13:31,1,34338,주유비,
g_g003810,옷,1,1,5811000599,히니크,서울 성북구 지봉로20길 57,서울 성북구 보문동5가 116-2,4121691,1129012700,2023-07-21 00:00,1,56600,자블 셔츠;155cm노마드 하프 슬랙스,
g_g003821,온천수영장입장권,1,3,1138521083,엔에이치엔케이씨피 주식회사,서울 구로구 디지털로26길 72,서울 구로구 구로동 222-22,4148327,1153010200,2023-07-10 16:11,1,46920,,
g_g003871,공연티켓,1,4,8248102515,주식회사 인터파크,서울 강남구 삼성로 512,,3122005,1168010500,2023-06-07 00:00,3,165000,싸이흠뻑쇼 입장권 ,
g_g003874,교통비 (서울 남부시외버스터미널 - 부여시외버스터미널),1,1,1048183559,㈜티머니,서울 중구 후암로 110,서울 중구 남대문로5가 581,3101024,1114011800,2023-07-05 06:43,1,18000,버스비,
g_g003874,교통비 (서울 남부시외버스터미널 - 부여시외버스터미널),3,1,1048183559,㈜티머니,서울 중구 후암로 110,서울 중구 남대문로5가 581,3101024,1114011800,2023-07-05 00:00,1,18000,버스비,
g_g003906,주유,0,2,,서산주유소,서산휴게소(목포방향),,,,,1,20000,,4421039000
g_g003956,국립중앙과학관 천체관 관람,0,4,,국립중앙과학관,32-2,,,,,1,6000,,3020012400
g_g003965,칫솔 치약,0,2,,김포공항 롯데몰,김포공항 롯데마트,,,,,2,10000,,1150010800
g_g003990,고속버스 티켓,0,1,,센트럴시티 터미널호남선,176,,,,,1,24400,,1165010700
g_g004025,차에서먹을 점시및 간식거리,0,3,,Cu,,,,,,4,9500,,4136036000
g_g004066,아침식사나 간식,1,3,2208160348,홈플러스,전북 익산시 무왕로 1035,전북 익산시 영등동 831-1,3016011,4514012200,2023-07-31 18:34,1,94210,테라캔;제로후르츠젤리;포카리스웨트;팔도비빔면;카스타드기획팩,
g_g004101,군산지역상품권(모바일),0,4,,농협,모바일 구매,,,,,3,63000,,1114017000
g_g004103,숙박비,0,4,,충청북도산림환경연구소,미원리20,,,,,5,90000,,4311132000
g_g004139,야채 과일 고기,1,8,2208160348,홈플러스,서울 강서구 화곡로 398,서울 강서구 등촌동 639-11,3005069,1150010200,2023-07-26 11:38,1,227860,일품포크 돼지 삼겹살;USDA초이스 살치살(미국산);진짜!한돈 양념 돼지 LA갈비;오리온 꼬북칩 초코츄러스맛;크라운 소복소복 소보로,
g_g004152,고기 상추 쌈장 부탄 가스 술 음료수 과자,0,4,,중앙식자재마트 호매실점,호매실로90번길 20,,,,,1,82460,,4111313500
g_g004231,음료수,0,1,,Cu편의점 천안역점,천안역,,,,,1,6500,,4413110100
g_g004239,물,1,1,1078657147,스토리웨이,부산 동구 중앙대로196번길 16-8,부산 동구 초량동 1203-5,4181413,2617010100,2023-07-29 08:52,1,950,농심)백산수 ,
g_g004318,거기 야채 쌈장 꼬치 술 라면 묵사발 김치 커피 얼음컵,1,2,1244577179,오렌지마트,경기 수원시 권선구 동수원로146번길 27,경기 수원시 권선구 곡반정동 516-2,4325192,4111313600,2023-07-21 20:34,1,25320,수박;삼양)불닭볶음탕면;비닐봉투;순창고기전용쌈장;영성)맛김치,
g_g004318,거기 야채 쌈장 꼬치 술 라면 묵사발 김치 커피 얼음컵,2,2,1803200059,CU,경기 수원시 영통구 권선로882번길 107-50,경기 수원시 영통구 신동 973,4848227,4111710600,2023-07-21 20:13,1,16600,배상면)심술7도;친환경)CU백색봉투대,
g_g004318,거기 야채 쌈장 꼬치 술 라면 묵사발 김치 커피 얼음컵,3,2,2068650913,트레이더스 홀세일 클럽,경기 수원시 영통구 삼성로 2,,3177009,4111710600,2023-07-21 19:53,1,90140,호주산냉장와규(F1)구이용;TS숯불데리야끼닭꼬치;한생 도토리묵사발,
g_g004329,콘서트관람권,1,2,1048145690,CGV ,전북 전주시 완산구 용머리로 45,,3266053,4511114000,2023-07-30 13:18,1,0,관람권,
g_g004329,콘서트관람권,2,2,,CGV,전북 전주시 완산구 용머리로 45,,3266053,4511114000,2023-07-11 00:00,1,110000,관람권 ,
g_g004380,주유,0,1,,이천강가주유소,신원리 558-51,,,,,1,50000,,4150025323
g_g004398,주유비,0,4,,서남부주유소,차량주유,,,,,1,50000,,3020010100
g_g004420,Itx 왕복권 (서울-천안),1,1,3148210024,한국철도공사,대전 동구 중앙로 240,,3164033,3011011300,2023-07-21 13:27,3,9300,기차표 ,
g_g004420,Itx 왕복권 (서울-천안),2,1,3148210024,한국철도공사,대전 동구 중앙로 240,,3164033,3011011300,2023-07-29 17:49,3,9300,기차표 ,
g_g004446,물,0,2,,씨유,봉영로1517번길73,,,,,1,1000,,4111710500
g_g004492,전주동물원,0,2,,전주동물원,전북 전주시 덕진구 소리로 68 전주동물원,,,,,4,6000,,4511310500
g_g004516,커피,1,2,2093306007,세븐일레븐,전북 군산시 개정면 모갱이1길 55,전북 군산시 개정면 아동리 686-5,4604319,4513036021,2023-07-29 10:33,1,5000,주문하신카라멜마끼야또;주문하신초코라떼;주문하신커피쿠키라떼,
g_g004556,버스 티켓,1,2,6988800163,동광고속,,,,,2023-07-28 15:07,1,12600,버스표,
g_g004578,고기 채소 새우,1,6,5388500007,농협하나로마트,광주 광산구 임방울대로 261,광주 광산구 신가동 1052,2009005,2920011900,2023-08-01 18:11,1,73630,상추와깻잎;알배기배추;켈리(캔);흰다리새우;프로포크삼겹,
g_g004621,식료품,0,8,,농가마트,충남 천안시 동남구 풍세로 763,,,,,3,200000,,4413111500
g_g004622,감자탕 식사,1,3,1450702654,종로감자탕,전남 영암군 삼호읍 대불주거로 71,전남 영암군 삼호읍 용앙리 416-5,3295043,4683025326,2023-07-29 09:27,1,39000,감자탕 (중);공기밥;수제비 ,
g_g004701,과일;소고기;과자;음료,0,6,,마켓탑 마트,마켓탑 구로점,,,,,1,95000,,1153010200
g_g004723,고속버스 승차권,1,2,2208742885,주식회사 야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713,1168010600,2023-08-02 00:36,1,21660,버스표,
g_g004723,고속버스 승차권,2,2,2208742885,(주)야놀자 ,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713,1168010600,2023-08-03 00:04,1,19660,버스표,
g_g004740,케이크,0,2,,옥뜨,435-6,,,,,5,26000,,3020011100
g_g004822,빵 커피,1,3,2241689349,비베이커리,강원특별자치도 원주시 단관초교길 12,강원특별자치도 원주시 관설동 1705-12,4457133,5113011600,2023-08-12 09:49,1,7500,치즈브리오슈;추억의야채빵;우유크림빵,
g_g004955,고속버스티켓,1,4,8998702113,금호익스프레스(주),울산 남구 삼산로 288,,3170026,3114010600,2023-07-22 18:03,1,114400,버스표,
g_g004955,고속버스티켓,2,4,2198101636,(주)중앙고속,경기 화성시 풀무골로 1,경기 화성시 영천동 651-866,3210155,4159013100,2023-07-22 18:03,1,102800,버스표,
g_g004977,쿠팡 이용하여 방울토마토,0,2,,쿠팡,,,,,,1,8370,,4375032000
g_g005034,영화표,1,2,3178503862,CGV,충북 청주시 상당구 상당로81번길 63,충북 청주시 상당구 서문동 29-2,4508335,4311110900,2023-08-05 13:40,1,30000,관람권,
g_g005080,수영복,1,1,5248601528,네이버파이낸셜 주식회사 ,경기 성남시 분당구 정자일로 95,경기 성남시 분당구 정자동 178-4,3180021,4113510300,2023-08-04 00:00,1,17500,벨리프 L0930 여자 워터레깅스 팬츠  블랙 S-XL,
g_g005094,고기ㆍ김밥ㆍ일회용품등,0,8,,대구서문시장,,,,,,1,327340,,2711015400
g_g005243,여수 아쿠아플라넷+해상케이블카 티켓,1,2,5668701096,(주)위메프,서울 강남구 영동대로 502,,2122002,1168010500,2023-08-02 00:00,1,89000,여수 아쿠아플라넷+해상케이블카,
g_g005250,와인,1,2,1138534012,(주)비니더스코리아,경기 안양시 만안구 덕천로152번길 25,경기 안양시 만안구 안양동 1432,4346052,4117110100,2023-08-07 18:41,1,52000,칼루사리 리제르바;와인,
g_g005282,와인,1,2,8368501991,와인앤모어,서울 마포구 양화로 45,서울 마포구 서교동 490,3113014,1144012000,2023-09-07 20:28,1,38100,로달리 모스카토 다스티;(POS)1본입상용케이스,
g_g005297,음료 및 계란,1,2,3128540595,롯데슈퍼,충남 천안시 동남구 신부7길 5-1,,4547445,4413111800,2023-08-31 22:16,1,11970,빙그레따옴(사과);오늘좋은콜라제로1.5L;무항생제판계란/30입/대란,
g_g005303,소고기,1,2,5559701362,홍성광천한우직판장,경기 용인시 수지구 현암로 82,경기 용인시 수지구 죽전동 1208-1,3205022,4146510200,2023-08-12 10:01,1,117400,,
g_g005377,음식,1,2,3258701966,(주)와이마트,광주 남구 금당로 43,,3161002,2915510800,2023-08-19 11:29,1,36440,백산수;재사용관급봉투;롯데)칠성사이다;팔도킹뚜껑;묵은지,
g_g005391,물/과일,1,2,4022021422,미니스톱,전북 전주시 완산구 경기전길 120,전북 전주시 완산구 교동 269-3,4598019,4511111800,2023-08-12 21:29,1,13100,아이시스8.0;2080세트;대추방울토마토(혜성);바나나(혜성);스캔)친환경비닐백색(중),
g_g005400,고기;숯;불판,0,2,,꽃보다한우,22-113,,,,,1,42160,,1159010200
g_g005554,영화표 예매,1,3,1048145690,CGV,충남 천안시 서북구 공원로 196,충남 천안시 서북구 불당동 1289,3250062,4413310800,2023-08-11 20:39,1,36000,관람권;CGV콤보;달콤팝콘,
g_g005581,음료,0,4,,여수마트,1002,,,,,1,8000,,4613010400
g_g005601,<팬텀싱어4> 콘서트 티켓,1,1,8248102515,주식회사 인터파크,서울 강남구 삼성로 512,서울 강남구 삼성동 157-1,3122005,1168010500,2023-06-14 00:00,1,154000,관람권,
g_g005704,케이크,1,2,5278800686,주식회사 카카오페이,경기 성남시 분당구 판교역로 166,경기 성남시 분당구 백현동 532,3179025,4113511000,2023-08-21 16:29,3,20000,,
g_g005709,요트투어,1,2,6173171156,부산요트타다,부산 해운대구 해운대해변로 52,부산 해운대구 우동 1393,3133043,2635010500,,1,59000,탑승권,
g_g005745,패러글라이딩 예약금,0,1,,코리아패러글라이딩,두산길 252,,,,,1,89000,,4380032000
g_g005791,기차표,1,1,3148210024,한국철도공사,대전 동구 중앙로 240,,3164033,3011011300,2023-09-03 22:04,3,15800,기차표 ,
g_g005791,기차표,2,1,3148210024,한국철도공사,대전 동구 중앙로 240,,3164033,3011011300,2023-08-24 23:38,3,19900,기차표,
g_g005794,식비(계곡에서 먹을 점심과 간식),1,4,1498101905,유한회사 아람식자재마트,광주 북구 설죽로 366,광주 북구 오치동 722,3162033,2917011500,2023-08-17 09:02,1,37400,농심 새우깡;관급봉투 20L;해태홈런볼4번들;웅진 코코몽딸기;맛있는구워먹는치즈바,
g_g005794,식비(계곡에서 먹을 점심과 간식),2,4,3662701401,자연숲 산수점,광주 동구 동계로 38,광주 동구 산수동 723,3159004,2911011000,2023-08-17 00:00,1,8700,농심)신라면큰사발;포도,
g_g005795,김밥,1,2,6351900701,백줄만죽,광주 광산구 목련로21번길 20,광주 광산구 산정동 1060,4289105,2920012700,2023-08-13 09:04,1,10300,,
g_g005808,팔튜브,0,1,,당근거래,미남역,,,,,5,6000,,2626010800
g_g005812,물안경,0,1,,실로암안경,경기 부천시 소사로 771 1층 실로암안경,,,,,3,23000,,4119012000
g_g005899,고속버스 승차권,0,3,,금호익스프레스(주),무진대로 904,,,,,1,62400,,2914011500
g_g005967,밥,1,1,2258506051,세븐일레븐,서울 강남구 광평로 지하 270,서울 강남구 수서동 728,3122002,1168011500,2023-08-25 20:58,1,7700,마루카네)감동란2입;남양)십칠차;풀무원)아임리얼딸기,
g_g005975,식료품;주류등,0,4,,이마트 화정점,이마트 화정점,,,,,1,58030,,4128112300
g_g006027,방수팩 2개,0,2,,다이소,852,,,,,1,10000,,2914013000
g_g006061,주유,1,3,1371850525,수현주유소,경기 김포시 월곶면 김포대로 2553,경기 김포시 월곶면 갈산리 466-14,2209001,4157035023,2023-08-16 17:50,1,37000,주유비,
g_g006092,과자 음료수 방수팩,1,2,2138152063,(주)아성다이소,경기 안양시 만안구 만안로 244,경기 안양시 만안구 안양동 88-1,3182003,4117110100,2023-08-14 19:00,1,8000,오리온포카칩오리지널;오레오초코크림;마주로스마트폰방수팩(고급평),
g_g006092,과자 음료수 방수팩,2,2,2138152063,(주)아성다이소,경기 안양시 만안구 만안로 244,,3182003,4117110100,2023-08-16 18:50,3,7500,광동밀싹보리차;귀여운 내친구 뽀로로딸기맛;롯데 꼬깔콘 고소한맛;해태 허니버터칩;하리보 스타믹스;오리온 초코송이,
g_g006096,공연티켓,1,2,2298137000,예스이십사(주),서울 영등포구 은행로 11,서울 영등포구 여의도동 15-15,3118025,1156011000,2023-07-18 12:02,3,35200,관람권,
g_g006163,돈마호크; 항정살; 볼살; 라면; 간식 등,0,4,,다모아디씨마트,,,,,,1,100000,,4420025300
g_g006190,전북투어패스,1,4,2068689631,주식회사엘에스컴퍼니,제주특별자치도 제주시 청사로 11,제주특별자치도 제주시 도남동 573-2,3349193,5011012900,2023-08-10 00:00,1,23600,[전북투어패스]통합이용권 ,
g_g006201,버스표,1,1,,속리산고속,충북 청주시 흥덕구 2순환로 1229,충북 청주시 흥덕구 가경동 1416,3014065,4311311300,2023-08-12 20:38,1,17200,버스표,
g_g006201,버스표,2,1,,속리산고속,충북 청주시 흥덕구 2순환로 1229,충북 청주시 흥덕구 가경동 1416,3014065,4311311300,2023-08-15 13:04,1,9100,버스표 ,
g_g006227,장보기,0,3,,군산롯데마트,전북 군산시 수송동210-1,,,,,1,107120,,4513014100
g_g006265,휴대용선풍기,0,1,,아트박스 광주점,광주 동구 충장로 81-3,,,,,1,19900,,2911013000
g_g006414,고무장갑 모종삽 팔토시,0,2,,다이소 등촌시장점,목동중앙북로 16-1,,,,,1,8000,,1147010200
g_g006460,기차 티켓,1,1,3148210024,한국철도공사,대전 동구 중앙로 240,,3164033,3011011300,2023-08-18 16:17,3,9200,기차표,
g_g006460,기차 티켓,2,1,3148210024,한국철도공사,대전 동구 중앙로 240,,3164033,3011011300,2023-08-21 12:12,3,71100,기차표,
g_g006460,기차 티켓,3,1,3148210024,한국철도공사,대전 동구 중앙로 240,,3164033,3011011300,2023-08-18 16:22,1,47400,기차표 ,
g_g006468,소노벨 오션어드벤쳐 입장권,1,2,2208796800,(주)스마트인피니,서울 강남구 압구정로42길 27,서울 강남구 신사동 643-22,4166523,1168010700,2023-08-27 00:00,1,72000,[하이시즌]천안 오션어드벤처 주중 대인권,
g_g006496,친척 한국야쿠르트이용권,0,1,,티몬,나리로57,,,,,1,85000,,3611010600
g_g006523,식료품,0,3,,이마트트레이더스 및 홈플러스,이마트 트레이다스 월평점,,,,,1,240000,,3017011300
g_g006677,주유,1,2,2190663386,삼화주유소,서울 송파구 백제고분로 125,서울 송파구 잠실동 222-31,3123006,1171010100,2023-08-07 11:13,1,50000,주유비,
g_g006777,삼겹살,1,4,1078163829,(주)코스트코 코리아,경기 하남시 미사강변중앙로 40,경기 하남시 풍산동 609,3202058,4145011000,2023-08-24 12:59,1,36990,미국산돈육삼겹살,
g_g006807,야구관람,1,3,,2023신한은행SOL KBO 리그,,,,,2023-08-12 00:00,3,40500,한화이글스 vs kt wiz 관람권,
g_g006842,술 음료외,0,7,,코스트코,217-6,,,,,1,100000,,1165010200
g_g006921,라마다짚트랙예약권,1,2,5288701094,(주)코어웍스,서울 송파구 백제고분로17길 52,서울 송파구 잠실동 208-3,4169169,1171010100,2023-08-29 22:35,1,56000,여수라마다 짚트랙,
g_g006971,기차승차권,1,2,3148210024,한국철도공사,대전 동구 중앙로 240,,3164033,3011011300,2023-09-01 00:00,3,12200,기차표 ,
g_g006971,기차승차권,2,2,3148210024,한국철도공사 ,대전 동구 중앙로 240,,3164033,3011011300,2023-09-02 00:00,3,15200,기차표,
g_g006971,기차승차권,3,2,3148210024,한국철도공사,대전 동구 중앙로 240,,3164033,3011011300,2023-09-03 00:00,3,15200,기차표 ,
g_g007120,간식(빵),1,2,8510802192,한상민과자점,인천 서구 이음대로 378,인천 서구 원당동 1041,2348252,2826011500,2023-09-09 11:17,1,12500,소금빵;에그토스트;흰둥이크림치즈빵,
g_g007152,야구티켓,1,1,,한화이글스파크,대전 중구 대종로 373,,3010004,3014011100,2023-08-31 17:06,1,15500,관람권 ,
g_g007209,바베큐 재료구매,1,2,,B마트 대전중구점,대전 동구 홍도로 11,대전 동구 홍도동 12,3010021,3011011700,2023-08-19 22:45,1,24860,청보 GAP 미니파프리카;페이장브레통 쁘띠게랑드버터;만인애 깐마늘;코타니 히말라야 소금;배달팁,
g_g007215,음식,1,4,4148200054,강진완도축협하나로마트본점,전남 강진군 강진읍 보은로 40,전남 강진군 강진읍 평동리 253,3293021,4681025026,2023-08-20 12:28,1,103600,스노우밸리생얼음;제주삼다수;365일 순수한 목장우유;롯데칠성사이다;롯데펩시콜라_제로슈거(펫),
g_g007231,삼겹살; 콜라; 버섯모듬,0,2,,홈플러스금천점,서울 금천구 시흥대로 391 삼성홈플러스,,,,,1,31660,,1154510200
g_g007330,주유(경유),1,2,5131490984,정품정량주유소,경북 구미시 장천면 낙동대로 1042,경북 구미시 장천면 상림리 1292-2,2308006,4719036023,2023-08-19 08:50,1,50000,주유비,
g_g007348,기차표 (ITX),1,1,3148210024,한국철도공사,대전 동구 중앙로 240,,3164033,3011011300,2023-08-28 09:22,1,16000,기차표,
g_g007348,기차표 (ITX),3,1,3148210024,한국철도공사,대전 동구 중앙로 240,,3164033,3011011300,2023-08-29 00:00,1,16000,기차표,
g_g007364,약과 및 호두정과,0,1,,편의점,,,,,,3,15000,,1111013300
g_g007373,빵 등 식비,1,4,2208160348,홈플러스,광주 동구 무등로 314,광주 동구 계림동 505-900,3009021,2911010900,2023-08-18 17:56,1,87200,블랙장바구니_대;미니롤케이크(애플);정통단판빵;생크림모카번;알프스 소금버터번,
g_g007374,티켓,1,4,2208159249,(주)동무해피데이즈,서울 마포구 백범로 116,,3005016,1144010900,2023-08-18 17:33,1,96000,콘도24 아산스파비스입장권,
g_g007386,커피,1,2,2018121515,스타벅스,광주 광산구 사암로216번길 38-16,광주 광산구 우산동 1585-5,4289187,2920010900,2023-08-26 15:09,1,10100,I-T)아메리카노;I-T)카페 라떼;3헤이즐넛시럽,
g_g007389,출발 전날주유소방문,1,4,5628100910,주식회사 현대셀프,전남 목포시 백년대로 202-1,전남 목포시 용해동 68,2281002,4611015900,2023-08-19 11:08,1,60000,주유비,
g_g007515,과자 음료수,1,1,1631201531,GS25,서울 구로구 개봉로17나길 33,서울 구로구 개봉동 323-33,4148036,1153010700,2023-08-22 16:04,1,11600,스프라이트;포테이토잭슨;농심)양파링;육개장사발면;튀김우동큰사발,
g_g007536,먹을것들을 구매하여 먹었음,1,1,6744800803,해님빈대떡,충남 예산군 예산읍 형제고개로 967,,3263048,4481025021,2023-09-02 20:34,1,6500,녹두빈대떡;완자전 ,
g_g007536,먹을것들을 구매하여 먹었음,2,1,2992801530,후포홍게,충남 예산군 예산읍 형제고개로 967,,3263048,4481025021,2023-09-02 19:22,1,8000,홍게,
g_g007536,먹을것들을 구매하여 먹었음,3,1,1768502281,진영상회,충남 예산군 예산읍 형제고개로 967,,3263048,4481025021,2023-09-02 19:31,1,16400,"맥주세트(애플,감귤);얼음컵;소주",
g_g007536,먹을것들을 구매하여 먹었음,4,1,7182101707,선봉국수,충남 예산군 예산읍 형제고개로 967,,3263048,4481025021,2023-09-02 11:22,1,7500,파기름비빔국수;진한멸치국수 ,
g_g007536,먹을것들을 구매하여 먹었음,5,1,1022497001,셀렉토커피,충남 예산군 예산읍 예산로194번길 8,,4589380,4481025021,2023-09-02 13:53,1,10200,,
g_g007537,일회용품,1,4,2138152063,(주)아성다이소,전북 전주시 덕진구 견훤로 203,전북 전주시 덕진구 인후동1가 864-1,3266009,4511310300,2023-08-17 17:15,1,4000,투명PET컵;일회용종이접시;분식용기,
